system:time_start,NDVI
"Apr 29, 2017",0.263
"Jul 13, 2017",0.217
"Feb 13, 2019",0.256
"Feb 18, 2019",0.292
"Feb 18, 2019",0.257
"Feb 23, 2019",0.292
"Feb 23, 2019",0.258
"Mar 5, 2019",0.268
"Mar 10, 2019",0.284
"Mar 25, 2019",0.288
"Mar 25, 2019",0.26
"Mar 30, 2019",0.265
"Mar 30, 2019",0.237
"Apr 9, 2019",0.266
"Apr 24, 2019",0.252
"May 4, 2019",0.262
"May 14, 2019",0.265
"May 24, 2019",0.276
"May 29, 2019",0.28
"May 29, 2019",0.266
"Jun 23, 2019",0.268
"Jul 3, 2019",0.235
"Jul 8, 2019",0.246
"Jul 13, 2019",0.246
"Jul 18, 2019",0.236
"Jul 23, 2019",0.241
"Sep 21, 2019",0.218
"Sep 26, 2019",0.212
"Jan 4, 2020",0.245
"Feb 13, 2020",0.272
"Feb 23, 2020",0.274
"Feb 23, 2020",0.246
"Feb 28, 2020",0.265
"Mar 4, 2020",0.283
"Mar 14, 2020",0.278
"Mar 19, 2020",0.291
"Mar 19, 2020",0.265
"Mar 24, 2020",0.279
"Mar 24, 2020",0.256
"Mar 29, 2020",0.288
"Apr 3, 2020",0.275
"Apr 3, 2020",0.253
"Apr 8, 2020",0.267
"Apr 13, 2020",0.264
"Apr 18, 2020",0.279
"Apr 18, 2020",0.261
"Apr 28, 2020",0.283
"Apr 28, 2020",0.267
"May 8, 2020",0.264
"May 18, 2020",0.27
"May 18, 2020",0.259
"May 23, 2020",0.267
"May 28, 2020",0.253
"Jun 12, 2020",0.249
"Jun 12, 2020",0.241
"Jun 17, 2020",0.239
"Jun 17, 2020",0.24
"Jun 22, 2020",0.242
"Jun 27, 2020",0.245
"Jul 2, 2020",0.242
"Jul 7, 2020",0.234
"Jul 22, 2020",0.207
"Aug 11, 2020",0.183
"Sep 25, 2020",0.184
"Oct 5, 2020",0.185
"Oct 15, 2020",0.193
"Dec 24, 2020",0.212
"Jan 3, 2021",0.251
"Jan 3, 2021",0.238
"Mar 9, 2021",0.268
"Mar 9, 2021",0.244
"Mar 14, 2021",0.248
"Mar 24, 2021",0.283
"Apr 23, 2021",0.27
"Apr 23, 2021",0.256
"May 3, 2021",0.262
"May 8, 2021",0.264
"May 13, 2021",0.25
"May 18, 2021",0.264
"Jun 17, 2021",0.255
"Jun 17, 2021",0.255
"Jul 2, 2021",0.253
"Jul 22, 2021",0.236
"Jul 27, 2021",0.221
"Oct 5, 2021",0.19
"Dec 29, 2021",0.259
"Jan 13, 2022",0.243
"Jan 18, 2022",0.259
"Jan 18, 2022",0.236
"Jan 28, 2022",0.206
"Feb 2, 2022",0.231
"Feb 2, 2022",0.21
"Feb 7, 2022",0.25
"Feb 7, 2022",0.229
"Feb 12, 2022",0.254
"Feb 12, 2022",0.233
"Feb 17, 2022",0.241
"Feb 22, 2022",0.252
"Feb 22, 2022",0.237
"Feb 27, 2022",0.226
"Feb 27, 2022",0.221
"Mar 9, 2022",0.242
"Mar 14, 2022",0.245
"Mar 14, 2022",0.227
"Mar 19, 2022",0.277
"Mar 19, 2022",0.252
"Mar 24, 2022",0.269
"Mar 24, 2022",0.252
"Mar 29, 2022",0.254
"Mar 29, 2022",0.245
"Apr 3, 2022",0.252
"Apr 3, 2022",0.242
"Apr 8, 2022",0.255
"Apr 8, 2022",0.243
"Apr 13, 2022",0.257
"Apr 13, 2022",0.245
"Apr 18, 2022",0.255
"Apr 18, 2022",0.245
"Apr 23, 2022",0.24
"Apr 23, 2022",0.231
"May 3, 2022",0.238
"May 3, 2022",0.23
"May 8, 2022",0.249
"May 8, 2022",0.24
"May 13, 2022",0.247
"May 13, 2022",0.247
"May 18, 2022",0.216
"May 23, 2022",0.228
"May 23, 2022",0.226
"May 28, 2022",0.223
"May 28, 2022",0.226
"Jun 2, 2022",0.222
"Jun 2, 2022",0.222
"Jun 7, 2022",0.226
"Jun 7, 2022",0.227
"Jun 12, 2022",0.228
"Jun 17, 2022",0.217
"Jun 17, 2022",0.223
"Jun 22, 2022",0.21
"Jun 22, 2022",0.216
"Jul 2, 2022",0.207
"Jul 12, 2022",0.197
"Jul 12, 2022",0.211
"Jul 17, 2022",0.198
"Jul 27, 2022",0.171
"Aug 1, 2022",0.181
"Aug 1, 2022",0.2
"Aug 6, 2022",0.189
"Aug 6, 2022",0.202
"Aug 11, 2022",0.184
"Aug 11, 2022",0.201
"Aug 16, 2022",0.184
"Aug 21, 2022",0.179
"Aug 26, 2022",0.178
"Aug 31, 2022",0.164
"Aug 31, 2022",0.182
"Sep 5, 2022",0.172
"Sep 10, 2022",0.165
"Sep 10, 2022",0.181
"Sep 20, 2022",0.166
"Sep 20, 2022",0.184
"Sep 25, 2022",0.169
"Oct 5, 2022",0.165
"Oct 10, 2022",0.167
"Oct 15, 2022",0.168
"Oct 20, 2022",0.164
"Oct 20, 2022",0.181
"Oct 25, 2022",0.171
"Oct 25, 2022",0.186
"Oct 30, 2022",0.168
"Oct 30, 2022",0.185
"Nov 4, 2022",0.173
"Nov 4, 2022",0.188
"Nov 9, 2022",0.169
"Nov 9, 2022",0.182
"Nov 14, 2022",0.182
